
Date;Time;UTC;Latitude;Longitude;Altitude;Speed;Heading;#Sat;EARFCN;Frequency;PCI;MCC;MNC;TAC;CI;eNodeB-ID;cellID;BW;SymPerSlot;Power;SINR;RSRP;RSRQ;4G-Drift;Sigma-4G-Drift;TimeOfArrival;TimeOfArrivalFN;LTE-M;5G NR;eNodeB Tx Ports;SIB2 eMBMS/DSS;MIB dl_Bandwidth(MHz);Riadky_v_zone;Frekvencie_v_zone
11.02.2025;08:45:31.231;1741675531;48.900941;21.634865;135.79;65.77;139.79;16;42590;3500000000;20;231;1;3570.0;81569075.0;318629.0;51.0;20.0;7;-70.72;10.48;-88.84;-10.52;-23.61;277.02;1.0449512e-05;284157.0;no;no;2.0;;20.0;52976,53073;3500000000 # Meraní: 2
11.02.2025;08:48:11.525;1741675691;48.882968;21.668756;134.45;49.79;79.15;16;1300;1815000000;39;231;1;18041.0;7690272.0;30040.0;32.0;20.0;7;-57.26;28.40;-69.69;-13.23;-32.15;285.47;1.692894e-06;300344.0;no;yes;;;20.0;62035,62036,62086,62143,62174,62192,62241,62290,62291,62341;1815000000 # Meraní: 10
11.02.2025;08:48:04.304;1741675684;48.882931;21.667394;134.91;55.3;86.08;16;6300;806000000;39;231;1;8041.0;7690252.0;30040.0;12.0;10.0;7;-58.24;12.49;-73.37;-12.6;-52.59;284.65;2.233017e-06;299287.0;yes;yes;2.0;;10.0;61835,61864,61888,61941,61992,62003;806000000 # Meraní: 6
11.02.2025;08:47:59.330;1741675679;48.882894;21.666031;136.53;56.7;91.02;16;6300;806000000;39;231;1;8041.0;7690252.0;30040.0;12.0;10.0;7;-56.64;10.35;-77.18;-11.34;-53.7;284.88;2.475474e-06;298860.0;yes;yes;2.0;;10.0;61674,61729,61731,61782;806000000 # Meraní: 4
11.02.2025;08:47:53.537;1741675673;48.882857;21.664669;139.22;57.53;96.28;16;50;2115000000;39;231;1;21041.0;7690282.0;30040.0;42.0;10.0;7;-60.73;13.18;-79.41;-12.85;-50.51;285.45;2.48113e-06;298545.0;no;yes;;;10.0;61431,61450,61519,61592,61623;2115000000 # Meraní: 5
11.02.2025;08:47:46.306;1741675666;48.882819;21.663307;142.3;56.59;103.74;16;6300;806000000;39;231;1;8041.0;7690252.0;30040.0;12.0;10.0;7;-65.03;4.76;-83.08;-14.7;-52.83;293.75;3.19988e-06;297501.0;yes;yes;2.0;;10.0;61106,61155,61201,61283;806000000 # Meraní: 4
11.02.2025;08:47:39.383;1741675659;48.883681;21.661888;143.87;59.47;110.67;16;50;2115000000;39;231;1;21041.0;7690282.0;30040.0;42.0;10.0;7;-55.42;12.18;-74.18;-10.75;-55.01;297.44;3.58578e-06;296768.0;no;yes;;;10.0;60703,60740;2115000000 # Meraní: 2
11.02.2025;08:47:41.198;1741675661;48.882782;21.661944;143.62;59.11;108.94;16;50;2115000000;39;231;1;21041.0;7690282.0;30040.0;42.0;10.0;7;-57.11;9.63;-77.38;-11.25;-56.04;293.36;3.326494e-06;297190.0;no;yes;;;10.0;60792,60891,60974,60989;2115000000 # Meraní: 4
11.02.2025;08:47:32.592;1741675652;48.883644;21.660525;145.25;60.98;119.48;16;50;2115000000;39;231;1;21041.0;7690282.0;30040.0;42.0;10.0;7;-61.29;12.76;-76.62;-14.45;-55.32;302.47;3.78187e-06;296327.0;no;yes;;;10.0;60267,60379,60472,60488,60595;2115000000 # Meraní: 5
11.02.2025;08:47:25.458;1741675645;48.884505;21.659107;146.09;62.17;125.92;16;50;2115000000;39;231;1;21041.0;7690282.0;30040.0;42.0;10.0;7;-57.55;10.68;-77.23;-10.85;-59.23;315.61;4.325801e-06;295422.0;no;yes;;;10.0;59871,59953,59956;2115000000 # Meraní: 3
11.02.2025;08:47:28.923;1741675648;48.883606;21.659163;145.83;61.34;122.75;16;50;2115000000;39;231;1;21041.0;7690282.0;30040.0;42.0;10.0;7;-60.26;6.93;-81.48;-15.41;-58.25;309.33;4.046923e-06;295889.0;no;yes;;;10.0;60066,60170,60209;2115000000 # Meraní: 3
11.02.2025;08:47:18.032;1741675638;48.885366;21.657688;146.44;65.02;127.47;16;50;2115000000;39;231;1;21041.0;7690282.0;30040.0;42.0;10.0;7;-61.43;9.12;-79.52;-12.13;-65.37;321.28;4.812004e-06;294544.0;no;yes;;;10.0;59433,59438;2115000000 # Meraní: 2
11.02.2025;08:47:19.901;1741675639;48.884468;21.657744;146.35;64.33;127.37;16;50;2115000000;39;231;1;21041.0;7690282.0;30040.0;42.0;10.0;7;-58.83;10.88;-76.90;-12.68;-61.76;320.25;4.543358e-06;294995.0;no;yes;;;10.0;59567,59680,59721,59765;2115000000 # Meraní: 4
11.02.2025;08:46:31.042;1741675591;48.891395;21.647754;149.49;84.74;141.99;16;1300;1815000000;39;231;1;18041.0;7690272.0;30040.0;32.0;20.0;7;-65.82;5.73;-84.69;-12.25;-74.4;385.06;7.962145e-06;290039.0;no;yes;;;20.0;56096,56223,56294,56353;1815000000 # Meraní: 4
11.02.2025;08:46:22.790;1741675582;48.893154;21.646278;144.3;87.12;138.76;16;1300;1815000000;39;231;1;18041.0;7690272.0;30040.0;32.0;20.0;7;-87.36;3.33;-89.35;-25.88;-73.15;466.38;8.670394e-06;289093.0;no;yes;;;20.0;55607,55672,55729;1815000000 # Meraní: 3
11.02.2025;08:46:26.982;1741675586;48.892256;21.646335;148.47;84.06;141.7;16;1300;1815000000;39;231;1;18041.0;7690272.0;30040.0;32.0;20.0;7;-64.93;10.89;-83.26;-10.8;-75.91;426.31;8.306822e-06;289566.0;no;yes;;;20.0;55837,55926,55963;1815000000 # Meraní: 3
11.02.2025;08:46:46.433;1741675606;48.888774;21.650649;149.41;89.86;141.77;16;6300;806000000;49;231;1;8041.0;7792908.0;30441.0;12.0;10.0;7;-71.56;-6.13;-84.72;-18.76;-55.8;342.81;7.276106e-06;291537.0;yes;yes;;;10.0;57131,57279,57289,57418;806000000 # Meraní: 4
11.02.2025;08:45:34.353;1741675534;48.900979;21.636228;135.21;65.48;139.77;16;6300;806000000;49;231;1;8041.0;7792908.0;30441.0;12.0;10.0;7;-72.96;0.16;-91.42;-14.16;-43.35;468.02;1.1843413e-05;284343.0;yes;yes;2.0;;10.0;53134,53238,53251;806000000 # Meraní: 3
11.02.2025;08:29:28.546;1741674568;49.031793;21.518423;180.16;63.68;93.2;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-73.87;3.89;-96.46;-13.92;54.14;272.49;5.061262e-06;187708.0;yes;yes;2.0;;10.0;18311,18328,18350;806000000 # Meraní: 3
11.02.2025;08:29:21.607;1741674561;49.031754;21.517057;178.82;59.54;66.94;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-64.6;10.63;-89.44;-14.96;50.43;272.86;5.121616e-06;187307.0;yes;yes;2.0;;10.0;18146,18184,18207,18227,18270;806000000 # Meraní: 5
11.02.2025;08:29:16.222;1741674556;49.031715;21.515690;177.96;60.88;59.1;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-60.52;11.96;-82.89;-12.04;46.8;273.21;4.640164e-06;186453.0;yes;yes;2.0;;10.0;18032,18042,18077,18110,18129;806000000 # Meraní: 5
11.02.2025;08:29:15.091;1741674555;49.030816;21.515749;177.79;60.95;58.95;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-60.52;14.09;-79.55;-12.04;46.8;273.21;4.640164e-06;186453.0;yes;yes;2.0;;10.0;18009;806000000 # Meraní: 1
11.02.2025;08:29:07.014;1741674547;49.030777;21.514383;176.44;61.34;58.48;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-57.94;13.35;-77.97;-12.8;41.99;272.93;4.305171e-06;185666.0;yes;yes;2.0;;10.0;17857,17886,17890,17919,17948,17962,17976;806000000 # Meraní: 7
11.02.2025;08:29:04.117;1741674544;49.030739;21.513017;175.97;61.78;58.59;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-60.62;13.30;-78.49;-11.83;39.05;273.15;4.066939e-06;185277.0;yes;yes;2.0;;10.0;17795,17810,17823;806000000 # Meraní: 3
11.02.2025;08:29:02.126;1741674542;49.029840;21.513076;175.67;62.86;58.49;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-60.62;13.37;-79.38;-11.83;39.05;273.15;4.066939e-06;185277.0;yes;yes;2.0;;10.0;17765;806000000 # Meraní: 1
11.02.2025;08:28:56.037;1741674536;49.029801;21.511710;175.88;62.03;59.74;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-64.3;13.15;-82.30;-12.56;39.68;273.63;3.615095e-06;184462.0;yes;yes;2.0;;10.0;17640,17656,17669,17700,17728,17732;806000000 # Meraní: 6
11.02.2025;08:28:50.999;1741674531;49.029762;21.510344;176.75;57.74;65.13;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-70.93;12.22;-87.03;-13.06;41.94;273.86;3.211407e-06;184059.0;yes;yes;2.0;;10.0;17539,17568,17572,17607;806000000 # Meraní: 4
11.02.2025;08:28:48.657;1741674528;49.028864;21.510403;177.1;56.16;68.11;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-70.93;10.10;-90.18;-13.06;41.94;273.86;3.211407e-06;184059.0;yes;yes;2.0;;10.0;17488,17503;806000000 # Meraní: 2
11.02.2025;08:28:41.161;1741674521;49.028825;21.509037;178.22;57.53;69.71;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-62.14;12.48;-83.77;-12.11;29.28;274.58;3.080521e-06;183270.0;yes;yes;2.0;;10.0;17317,17354,17388,17393,17432,17469;806000000 # Meraní: 6
11.02.2025;08:28:35.012;1741674514;49.028786;21.507670;180.36;53.14;69.94;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-71.16;10.46;-86.25;-13.31;24.99;276.01;2.725605e-06;182450.0;yes;yes;2.0;;10.0;17175,17208,17213,17250,17284,17301;806000000 # Meraní: 6
11.02.2025;08:28:31.750;1741674511;49.028747;21.506304;181.62;52.67;69.47;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-66.42;10.17;-89.80;-14.72;16.83;276.2;2.474256e-06;182047.0;yes;yes;2.0;;10.0;17099,17118,17133;806000000 # Meraní: 3
