
Date;Time;UTC;Latitude;Longitude;Altitude;Speed;Heading;#Sat;EARFCN;Frequency;PCI;MCC;MNC;TAC;CI;eNodeB-ID;cellID;BW;SymPerSlot;Power;SINR;RSRP;RSRQ;4G-Drift;Sigma-4G-Drift;TimeOfArrival;TimeOfArrivalFN;LTE-M;5G NR;eNodeB Tx Ports;SIB2 eMBMS/DSS;MIB dl_Bandwidth(MHz);Riadky_v_zone;Frekvencie_v_zone
11.02.2025;08:46:23.740;1741675583;48.893163;21.645729;145.54;86.36;140.23;16;1300;1815000000;39;231;1;18041.0;7690272.0;30040.0;32.0;20.0;7;-64.93;13.73;-82.81;-10.8;-75.91;426.31;8.306822e-06;289566.0;no;yes;;;20.0;55672,55729;1815000000 # Meraní: 2
11.02.2025;08:46:26.982;1741675586;48.892639;21.646374;148.47;84.06;141.7;16;1300;1815000000;39;231;1;18041.0;7690272.0;30040.0;32.0;20.0;7;-64.93;10.89;-83.26;-10.8;-75.91;426.31;8.306822e-06;289566.0;no;yes;;;20.0;55837,55926,55963;1815000000 # Meraní: 3
11.02.2025;08:46:31.042;1741675591;48.892108;21.647004;149.49;84.74;141.99;16;1300;1815000000;39;231;1;18041.0;7690272.0;30040.0;32.0;20.0;7;-65.82;5.22;-84.17;-12.25;-74.4;385.06;7.962145e-06;290039.0;no;yes;;;20.0;56096;1815000000 # Meraní: 1
11.02.2025;08:46:33.200;1741675593;48.891577;21.647635;149.38;85.14;141.73;16;1300;1815000000;39;231;1;18041.0;7690272.0;30040.0;32.0;20.0;7;-65.82;5.89;-84.87;-12.25;-74.4;385.06;7.962145e-06;290039.0;no;yes;;;20.0;56223,56294,56353;1815000000 # Meraní: 3
11.02.2025;08:47:16.905;1741675636;48.885220;21.656666;146.69;65.7;127.35;16;50;2115000000;39;231;1;21041.0;7690282.0;30040.0;42.0;10.0;7;-61.43;9.12;-79.52;-12.13;-65.37;321.28;4.812004e-06;294544.0;no;yes;;;10.0;59344,59433,59438,59567;2115000000 # Meraní: 4
11.02.2025;08:47:21.687;1741675641;48.884809;21.657477;146.44;62.86;127.45;16;50;2115000000;39;231;1;21041.0;7690282.0;30040.0;42.0;10.0;7;-58.83;11.68;-76.32;-12.68;-61.76;320.25;4.543358e-06;294995.0;no;yes;;;10.0;59680,59721,59765;2115000000 # Meraní: 3
11.02.2025;08:47:25.458;1741675645;48.884402;21.658292;146.09;62.17;125.92;16;50;2115000000;39;231;1;21041.0;7690282.0;30040.0;42.0;10.0;7;-57.55;10.68;-77.23;-10.85;-59.23;315.61;4.325801e-06;295422.0;no;yes;;;10.0;59871,59953,59956;2115000000 # Meraní: 3
11.02.2025;08:47:28.923;1741675648;48.884022;21.659137;145.83;61.34;122.75;16;50;2115000000;39;231;1;21041.0;7690282.0;30040.0;42.0;10.0;7;-60.26;7.65;-81.54;-15.41;-58.25;309.33;4.046923e-06;295889.0;no;yes;;;10.0;60066,60170,60209,60267;2115000000 # Meraní: 4
11.02.2025;08:47:34.381;1741675654;48.883684;21.660022;144.79;60.3;116.62;16;50;2115000000;39;231;1;21041.0;7690282.0;30040.0;42.0;10.0;7;-61.29;13.09;-76.06;-14.45;-55.32;302.47;3.78187e-06;296327.0;no;yes;;;10.0;60379,60472,60488;2115000000 # Meraní: 3
11.02.2025;08:47:37.690;1741675657;48.883396;21.660946;144.22;59.87;113.27;16;50;2115000000;39;231;1;21041.0;7690282.0;30040.0;42.0;10.0;7;-55.42;12.17;-74.18;-10.75;-55.01;297.44;3.58578e-06;296768.0;no;yes;;;10.0;60595,60703,60740,60792;2115000000 # Meraní: 4
11.02.2025;08:47:42.814;1741675662;48.883169;21.661909;143.37;58.43;107.29;16;50;2115000000;39;231;1;21041.0;7690282.0;30040.0;42.0;10.0;7;-57.11;9.64;-78.13;-11.25;-56.04;293.36;3.326494e-06;297190.0;no;yes;;;10.0;60891,60974,60989;2115000000 # Meraní: 3
11.02.2025;08:47:46.306;1741675666;48.883003;21.662900;142.3;56.59;103.74;16;6300;806000000;39;231;1;8041.0;7690252.0;30040.0;12.0;10.0;7;-65.03;4.76;-83.08;-14.7;-52.83;293.75;3.19988e-06;297501.0;yes;yes;2.0;;10.0;61106,61155,61201,61283;806000000 # Meraní: 4
11.02.2025;08:47:51.997;1741675671;48.882886;21.663907;140.25;56.7;98.33;16;50;2115000000;39;231;1;21041.0;7690282.0;30040.0;42.0;10.0;7;-67.76;10.90;-82.35;-14.6;-45.97;288.07;2.819562e-06;298074.0;no;yes;;;10.0;61358,61431,61450,61519;2115000000 # Meraní: 4
11.02.2025;08:47:57.423;1741675677;48.882822;21.664924;137.2;57.42;92.57;16;1300;1815000000;39;231;1;18041.0;7690272.0;30040.0;32.0;20.0;7;-62.15;25.72;-75.80;-13.07;-48.98;292.14;2.520254e-06;298559.0;no;yes;;;20.0;61607,61635,61669,61725;1815000000 # Meraní: 4
11.02.2025;08:48:02.626;1741675682;48.882806;21.665947;135.47;56.16;88.02;16;6300;806000000;39;231;1;8041.0;7690252.0;30040.0;12.0;10.0;7;-58.24;11.65;-75.71;-12.6;-52.59;284.65;2.233017e-06;299287.0;yes;yes;2.0;;10.0;61782,61835,61864;806000000 # Meraní: 3
11.02.2025;08:48:06.185;1741675686;48.882847;21.666967;134.61;53.75;83.65;16;6300;806000000;39;231;1;8041.0;7690252.0;30040.0;12.0;10.0;7;-53.33;12.59;-72.80;-11.12;-51.29;284.68;2.031525e-06;299732.0;yes;yes;2.0;;10.0;61888,61941,61992,62003;806000000 # Meraní: 4
11.02.2025;08:48:11.525;1741675691;48.882953;21.667976;134.45;49.79;79.15;16;1300;1815000000;39;231;1;18041.0;7690272.0;30040.0;32.0;20.0;7;-57.26;26.53;-72.43;-13.23;-32.15;285.47;1.692894e-06;300344.0;no;yes;;;20.0;62035,62036,62086,62143,62174,62192;1815000000 # Meraní: 6
11.02.2025;08:48:19.359;1741675699;48.883092;21.668977;134.39;12.28;74.93;16;1300;1815000000;39;231;1;18041.0;7690272.0;30040.0;32.0;20.0;7;-43.72;31.20;-65.59;-10.76;-36.09;284.8;1.812658e-06;300829.0;no;yes;;;20.0;62241,62290,62291,62341;1815000000 # Meraní: 4
11.02.2025;08:45:31.521;1741675531;48.901355;21.635076;135.79;65.77;139.79;16;6300;806000000;49;231;1;8041.0;7792908.0;30441.0;12.0;10.0;7;-72.96;1.91;-91.59;-14.16;-43.35;468.02;1.1843413e-05;284343.0;yes;yes;2.0;;10.0;53012,53046,53134;806000000 # Meraní: 3
